"x"
"yago/WikicatLeisureActivities"
"yago/Expert109617867"
"yago/DigitalCamera103196062"
"yago/MalevolentProgram106573020"
"yago/WikicatJanuaryObservances"
"yago/ChangeOfState100199130"
"yago/SubsidiaryCompany108003935"
"http://dbpedia.org/ontology/Drug"
"yago/Feat100036762"
"yago/WikicatToys"
"yago/Wikicat19th-centuryBoardGames"
"yago/Apparel102728440"
"yago/FictionalCharacter109587565"
"http://dbpedia.org/ontology/MilitaryUnit"
"yago/WikicatJapaneseFemaleSingers"
"yago/WikicatBrands"
"yago/PhotographicEquipment103926148"
"yago/Tool104451818"
"yago/Virus106585816"
"yago/WikicatDigitalSLRCameras"
"http://dbpedia.org/ontology/Cricketer"
"yago/Food107555863"
"yago/Day115155220"
"yago/WikicatSymbolsOfUtah"
"yago/WikicatHobbies"
"yago/Absentee109757653"
"yago/Assistant109815790"
"http://schema.org/Person"
"yago/Crime100766234"
"yago/Walk104544979"
"yago/Transgression100745005"
"yago/WikicatPublicHolidaysInTheUnitedStates"
"yago/Educator110045713"
"yago/WikicatGames"
"http://www.wikidata.org/en"
"yago/Camera102942699"
"yago/HomeAppliance103528263"
"yago/WikicatJapaneseMusicians"
"yago/Telecommunication106271778"
"yago/Song107048000"
"Massachusetts"
"yago/Change100191142"
"yago/WikicatComputerViruses"
"yago/Scholar110557854"
"yago/Honoree110183757"
"http://"
"yago/ParlorGame100501722"
"yago/WikicatComputerSecurityExploits"
"yago/Disputant109615465"
"yago/Imagination105625465"
"yago/Male109624168"
"yago/WaterSport100441824"
"yago/WikicatSecularHolidays"
"yago/Firm108059870"
"yago/WikicatManufacturingPlants"
"yago/BoardGame100502415"
"yago/WikicatWaterSports"
"yago/Avocation100432689"
"yago/WikicatOutletMalls"
"yago/Implement103563967"
"yago/WikicatDigitalMedia"
"http://www.wikidata.org/entity/Q215380"
"yago/WikicatElectronicMusicGenres"
"yago/WikicatCompaniesBasedInSanFrancisco"
"yago/WikicatDigitalCameras"
"yago/WikicatMediaFormats"
"yago/WikicatLive-previewDigitalCameras"
"yago/Advocate109774783"
"yago/Pastime100431552"
"yago/ImaginaryBeing109483738"
"yago/WikicatTechnologyNeologisms"
"http://dbpedia.org/ontology/AdministrativeRegion"
"yago/Process105701363"
"yago/Wikicat18th-centuryBoardGames"
"yago/Plant100017222"
"yago/Acquirer109764201"
"yago/Object100"
"yago/Subject106599788"
"http://schema.org/Country"
"yago/Director110014939"
"yago/Promenade104010205"
"yago/WikicatMoroccanTribes"
"http://dbpedia.org/ontology/Plant"
"yago/WikicatIslandCountries"
"yago/Benefactor109608709"
"yago/RockGroup108250501"
"yago/Plant103956922"
"yago/WikicatIslands"
"http://dbpedia.org/ontology/Country"
"yago/Head110162991"
"http:"
"http://umbel.org/umbel/rc/ChemicalSubstanceType"
"http://www.wikidata.org/entity/Q634"
"yago/MusicalComposition107037465"
"yago/Contestant109613191"
"http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#ChemicalObject"
"yago/Tribe108372411"
"yago/Program106568978"
"yago/Beginning100235435"
"yago/Durables103257877"
"yago/Plaything103964744"
"yago/WikicatSaints"
"yago/Path103899328"
"yago/SocialGroup107"
"yago/WikicatCountriesInOceania"
"yago/WikicatBerberTribes"
"yago/School108276720"
"yago/BuildingComplex102914991"
"yago/Accomplishment100035189"
"yago/WikicatMoodDisorders"
"yago/DanceBand108249960"
"yago/WikicatSkills"
"yago/WikicatFederalCountries"
"yago/Factory103316406"
"yago/WikicatMartialArts"
"yago/WikicatBerberGroups"
"yago/Neologism106294441"
"yago/WikicatCompaniesBasedInCalifornia"
"yago/TradeName106845599"
"yago/CountySeat108547143"
"yago/WikicatBusinessDocuments"
"yago/Word106286395"
"yago/WikicatEnglish-speakingCountriesAndTerritories"
"yago/WikicatBusinessPlanCompetitions"
"yago/PrintMedia106263609"
"htt"
"yago/Isthmus109319604"
"http://www.wikidata.org/entity/Q11436"
"yago/WikicatFormalStatements"
"yago/Seat108647945"
"yago/WikicatOccupations"
"yago/Appliance102729837"
"yago/Work104599396"
"yago/Problem114410605"
"yago/WikicatEngineeringDisciplines"
"yago/WikicatSocialProblems"
