"http.__dbpedia.org_ontology_RecordLabel"
"yago_WikicatVirtualCommunities"
"yago_Community108223802"
"yago_Gathering107975026"
"yago_SocialGroup107950920"
"yago_WikicatTelevisionChannelsInFlanders"
"yago_WikicatTelevisionChannelsInTheNetherlands"
"yago_WikicatTelevisionChannelsInBelgium"
"yago_WikicatTelevisionStationsInRussia"
"yago_WikicatInternetTelevisionChannels"
"yago_WikicatTelevisionChannelsAndStationsEstablishedIn2005"
"yago_WikicatForeignTelevisionChannelsBroadcastingInTheUnitedKingdom"
"yago_WikicatRussian.languageTelevisionStations"
"yago_WikicatTelevisionStations"
"yago_WikicatSpanish.languageTelevisionStations"
"yago_WikicatEnglish.languageTelevisionStations"
"yago_TelevisionStation104406350"
"yago_Channel103006398"
"http.__schema.org_TelevisionStation"
"yago_BroadcastingStation102903405"
"yago_Station104306080"
"http.__www.wikidata.org_entity_Q15265344"
"yago_Facility103315023"
"http.__dbpedia.org_ontology_Broadcaster"
"yago_Group100031264"
"http.__dbpedia.org_ontology_TelevisionStation"
"http.__www.wikidata.org_entity_Q43229"
"http.__schema.org_Organization"
"http.__www.ontologydesignpatterns.org_ont_dul_DUL.owl.SocialPerson"
"yago_YagoGeoEntity"
"http.__dbpedia.org_ontology_Organisation"
"http.__www.wikidata.org_entity_Q24229398"
"http.__www.ontologydesignpatterns.org_ont_dul_DUL.owl.Agent"
"yago_Artifact100021939"
"http.__dbpedia.org_ontology_Agent"
"yago_YagoPermanentlyLocatedEntity"
"yago_Object100002684"
"yago_Whole100003553"
"yago_Abstraction100002137"
"yago_WikicatDrugsActingOnTheNervousSystem"
"yago_WikicatIARCGroup1Carcinogens"
"yago_WikicatDrugs"
"yago_Carcinogen114793812"
"yago_WikicatBeerStyles"
"yago_Drug103247620"
"yago_Agent114778436"
"http.__dbpedia.org_ontology_Beverage"
"yago_PhysicalEntity100001930"
"yago_WikicatSocialProblems"
"yago_Difficulty114408086"
"yago_Problem114410605"
"yago_Matter100020827"
"yago_WikicatCountriesInEurope"
"yago_Substance100020090"
"yago_WikicatNortheastAsianCountries"
"yago_WikicatEastAsianCountries"
"yago_WikicatSlavicCountriesAndTerritories"
"yago_WikicatStatesAndTerritoriesEstablishedIn862"
"yago_WikicatStatesAndTerritoriesEstablishedIn1991"
"yago_WikicatCentralAsianCountries"
"yago_WikicatRussian.speakingCountriesAndTerritories"
"yago_WikicatNorthAsianCountries"
"yago_WikicatMemberStatesOfTheCommonwealthOfIndependentStates"
"yago_WikicatCountries"
"yago_WikicatMemberStatesOfTheUnitedNations"
"http.__schema.org_Country"
"http.__www.wikidata.org_entity_Q6256"
"yago_WikicatFederalCountries"
"http.__dbpedia.org_ontology_Country"
"yago_Country108544813"
"yago_Manner104928903"
"yago_Property104916342"
"yago_Region108630985"
"yago_Location100027167"
"yago_AdministrativeDistrict108491826"
"yago_District108552138"
"yago_WikicatElectionsInTheUnitedStates"
"yago_WikicatPresidentialElectionsInTheUnitedStates"
"yago_Disease114070360"
"yago_IllHealth114052046"
"yago_PathologicalState114051917"
"yago_Illness114061805"
"yago_PhysicalCondition114034177"
"yago_Vote100182213"
"yago_Election100181781"
"yago_Condition113920835"
"yago_GroupAction101080366"
"yago_Professional110480253"
"yago_State100024720"
"http.__dbpedia.org_ontology_Place"
"http.__schema.org_Place"
"http.__dbpedia.org_ontology_Location"
"yago_Attribute100024264"
"yago_Sensing100876874"
"yago_SensoryActivity100876737"
"yago_Look100877127"
"yago_Observation100879759"
"yago_Holiday115183428"
"yago_WikicatHolidays"
"yago_LegalHoliday115199592"
"http.__dbpedia.org_ontology_Food"
"yago_Expert109617867"
"yago_TimeOff115118453"
"yago_Vacation115137890"
"yago_Leisure115137676"
"yago_Adviser109774266"
"yago_Authority109824361"
"yago_WikicatConspiracyTheorists"
"http.__www.w3.org_2003_01_geo_wgs84_pos.SpatialThing"
"yago_Educator110045713"
"yago_Observer110369528"
"yago_Theorist110706812"
"http.__www.ontologydesignpatterns.org_ont_dul_DUL.owl.FunctionalSubstance"
"http.__www.wikidata.org_entity_Q2095"
"yago_WikicatPeopleFromManhattan"
"yago_WikicatWritersFromNewYorkCity"
"yago_WikicatAmericanInvestors"
"yago_WikicatWritersFromFlorida"
"yago_WikicatAmericanGameShowHosts"
"yago_WikicatFordhamUniversityAlumni"
"yago_WikicatAmericanBusinessWriters"
"yago_Hotelier110187990"
"yago_WikicatBoardGameDesigners"
"yago_WikicatAmericanFinanciers"
"yago_WikicatAmericanFinancialLiteracyActivists"
"yago_WikicatAmericanFinancialCommentators"
"yago_WikicatAmericanAirlineChiefExecutives"
"yago_Restaurateur110524869"
"yago_WikicatAmericanPoliticalFundraisers"
"yago_WikicatAmericanBeautyPageantOwners"
"yago_WikicatBusinessEducators"
"yago_WikicatPeopleFromPalmBeach"
"yago_WikicatAmericanStockTraders"
"yago_Trader110720453"
"yago_Solicitor110623354"
"yago_InvestmentAdviser110215815"
