"x"
"yago_WikicatVirtualCommunities"
"yago_Gathering107975026"
"yago_Community108223802"
"http.__dbpedia.org_ontology_RecordLabel"
"yago_SocialGroup107950920"
"yago_Group100031264"
"yago_Abstraction100002137"
"yago_WikicatOccupationsInAviation"
"yago_WikicatMilitaryAviationOccupations"
"yago_WikicatPeopleFromNashville"
"Tennessee"
"yago_WikicatWaltDisneyRecordsArtists"
"yago_WikicatHollywoodRecordsArtists"
"yago_WikicatFascinationRecordsArtists"
"yago_WikicatMusiciansFromTennessee"
"yago_WikicatChildActors"
"yago_WikicatPeopleFromTennessee"
"yago_WikicatActorsFromTennessee"
"yago_WikicatActressesFromTennessee"
"yago_WikicatAmericanChildActresses"
"yago_WikicatAmericanChildActors"
"yago_WikicatAmericanFemaleDancers"
"yago_WikicatMusiciansFromNashville"
"yago_WikicatActressesFromNashville"
"yago_WikicatRCARecordsArtists"
"yago_WikicatChildPopMusicians"
"yago_WikicatAmericanFemalePopSingers"
"yago_Dancer109989502"
"yago_WikicatAmericanGuitarists"
"yago_WikicatLGBTRightsActivistsFromTheUnitedStates"
"yago_WikicatAmericanVoiceActresses"
"yago_WikicatAmericanChildSingers"
"yago_Pianist110430665"
"yago_WikicatAmericanPianists"
"yago_WikicatAmericanVoiceActors"
"yago_WikicatAmericanDanceMusicians"
"yago_WikicatAmericanActresses"
"yago_Guitarist110151760"
"yago_WikicatPopSingers"
"yago_Wikicat21st.centuryActresses"
"yago_WikicatAmericanFemaleSingers"
"yago_WikicatAmericanTelevisionActresses"
"yago_WikicatAmericanTelevisionActors"
"yago_WikicatAmericanHipHopSingers"
"yago_Occupation100582388"
"yago_WikicatAmericanFilmActresses"
"yago_WikicatAmericanSingers"
"yago_Wikicat21st.centuryAmericanActresses"
"yago_WikicatAmericanPopSingers"
"yago_WikicatEnglish.languageSingers"
"yago_Wikicat21st.centuryActors"
"yago_Wikicat21st.centuryAmericanSingers"
"yago_Actress109767700"
"yago_WikicatActors"
"yago_WikicatAmericanMusicians"
"yago_WikicatAmericanActors"
"yago_WikicatWomen"
"yago_Militant110315837"
"http.__umbel.org_umbel_rc_MusicalPerformer"
"yago_Female109619168"
"yago_Woman110787470"
"yago_Disputant109615465"
"yago_Reformer110515194"
"yago_Actor109765278"
"yago_Singer110599806"
"http.__dbpedia.org_ontology_MusicalArtist"
"yago_WikicatAmericanPeople"
"http.__www.w3.org_2002_07_owl.Thing"
"yago_Musician110340312"
"NA."
"yago_Musician110339966"
"yago_Artist109812338"
"yago_Performer110415638"
"yago_Entertainer109616922"
"yago_Adult109605289"
"yago_Activity100407535"
"yago_Creator109614315"
"yago_CausalAgent100007347"
"yago_Organism100004475"
"yago_LivingThing100004258"
"yago_Person100007846"
