"algorithm","embedding","f1_measure"
"SVM", "LSTM", 94.38669
"SVM", "LSTM", 94.94549
"SVM", "LSTM", 94.65021
"SVM", "LSTM", 93.8349
"SVM", "LSTM", 93.6214
"SVM", "GloVe-static", 87.27655
"SVM", "GloVe-static", 88.30112
"SVM", "GloVe-static", 88.25332
"SVM", "GloVe-static", 87.39496
"SVM", "GloVe-static", 86.91983
"SVM", "GloVe-static", 86.26198
"SVM", "GloVe-static", 87.9668
"SVM", "GloVe-static", 88.36207
"SVM", "GloVe-static", 85.68353
"SVM", "GloVe-static", 87.81513
"SVM", "GloVe-non-static", 90.55036
"SVM", "GloVe-non-static", 91.36546
"SVM", "GloVe-non-static", 91.22807
"SVM", "GloVe-non-static", 90.83246
"SVM", "GloVe-non-static", 90.60543
"SVM", "GloVe-non-static", 90.34335
"SVM", "GloVe-non-static", 90.18789
"SVM", "GloVe-non-static", 91.24324
"SVM", "GloVe-non-static", 88.67102
"SVM", "GloVe-non-static", 90.56604
"SVM", "Skipgram-static", 84.39791
"SVM", "Skipgram-static", 86.4
"SVM", "Skipgram-static", 84.71795
"SVM", "Skipgram-static", 83.06709
"SVM", "Skipgram-static", 83.76422
"SVM", "Skipgram-static", 83.26271
"SVM", "Skipgram-static", 85.33058
"SVM", "Skipgram-static", 83.93443
"SVM", "Skipgram-static", 83.78088
"SVM", "Skipgram-static", 85.65445
"SVM", "Skipgram-non-static", 95.08882
"SVM", "Skipgram-non-static", 93.57072
"SVM", "Skipgram-non-static", 94.14183
"SVM", "Skipgram-non-static", 93.69748
"SVM", "Skipgram-non-static", 92.93139
"SVM", "Skipgram-non-static", 93.46195
"SVM", "Skipgram-non-static", 93.51464
"SVM", "Skipgram-non-static", 93.96552
"SVM", "Skipgram-non-static", 93.78408
"SVM", "Skipgram-non-static", 93.99368
"SVM", "LSTM", 91.72185
"SVM", "LSTM", 95.0495
"SVM", "LSTM", 92.69949
"SVM", "LSTM", 90.97104
"SVM", "LSTM", 92.257
"SVM", "LSTM", 90.97104
"SVM", "LSTM", 92.66667
"SVM", "LSTM", 91.55405
"SVM", "LSTM", 92.17687
"SVM", "LSTM", 93.39775
"SVM", "GloVe-static", 85.49383
"SVM", "GloVe-static", 87.5576
"SVM", "GloVe-static", 85.57994
"SVM", "GloVe-static", 85.5814
"SVM", "GloVe-static", 87.78281
"SVM", "GloVe-static", 85.13302
"SVM", "GloVe-static", 86.60436
"SVM", "GloVe-static", 85.27607
"SVM", "GloVe-static", 83.98134
"SVM", "GloVe-static", 88.92261
"SVM", "GloVe-non-static", 86.99839
"SVM", "GloVe-non-static", 89.28
"SVM", "GloVe-non-static", 86.76717
"SVM", "GloVe-non-static", 87.79661
"SVM", "GloVe-non-static", 89.17197
"SVM", "GloVe-non-static", 85.71429
"SVM", "GloVe-non-static", 89.21569
"SVM", "GloVe-non-static", 86.95652
"SVM", "GloVe-non-static", 88.20679
"SVM", "GloVe-non-static", 90.8805
"SVM", "Skipgram-static", 85.54396
"SVM", "Skipgram-static", 86.76471
"SVM", "Skipgram-static", 85.2459
"SVM", "Skipgram-static", 85.2459
"SVM", "Skipgram-static", 87.26208
"SVM", "Skipgram-static", 84.55772
"SVM", "Skipgram-static", 85.58692
"SVM", "Skipgram-static", 84.55772
"SVM", "Skipgram-static", 84.73054
"SVM", "Skipgram-static", 88.88889
"SVM", "Skipgram-non-static", 89.66667
"SVM", "Skipgram-non-static", 91.50327
"SVM", "Skipgram-non-static", 94.01709
"SVM", "Skipgram-non-static", 92.41147
"SVM", "Skipgram-non-static", 92.3588
"SVM", "Skipgram-non-static", 90.49296
"SVM", "Skipgram-non-static", 91.18136
"SVM", "Skipgram-non-static", 89.91453
"SVM", "Skipgram-non-static", 92.51701
"SVM", "Skipgram-non-static", 92.18501
"SVM", "LSTM", 87.36462
"SVM", "LSTM", 89.75265
"SVM", "LSTM", 89.47368
"SVM", "LSTM", 88.57143
"SVM", "LSTM", 86.95652
"SVM", "LSTM", 89.85507
"SVM", "LSTM", 89.92806
"SVM", "LSTM", 89.78102
"SVM", "LSTM", 86.52482
"SVM", "LSTM", 88.48921
"SVM", "GloVe-static", 76.01476
"SVM", "GloVe-static", 80.28674
"SVM", "GloVe-static", 72.24335
"SVM", "GloVe-static", 72.59259
"SVM", "GloVe-static", 79.86111
"SVM", "GloVe-static", 77.30496
"SVM", "GloVe-static", 75.71429
"SVM", "GloVe-static", 80.67797
"SVM", "GloVe-static", 76.49123
"SVM", "GloVe-static", 77.62238
"SVM", "GloVe-non-static", 75.93985
"SVM", "GloVe-non-static", 81.13879
"SVM", "GloVe-non-static", 76.22642
"SVM", "GloVe-non-static", 75.55556
"SVM", "GloVe-non-static", 80.57554
"SVM", "GloVe-non-static", 79.32203
"SVM", "GloVe-non-static", 78.83212
"SVM", "GloVe-non-static", 79.72509
"SVM", "GloVe-non-static", 77.85235
