"algorithm","embedding","f1_measure"
"SVM","B GloVe-static", 78.22454
"SVM","B GloVe-static", 79.8082
"SVM","B GloVe-static", 78.64335
"SVM","B GloVe-static", 78.79407
"SVM","B GloVe-static", 78.77551
"SVM","B GloVe-static", 79.10686
"SVM","C GloVe-non-static", 86.54618
"SVM","C GloVe-non-static", 86.36135
"SVM","C GloVe-non-static", 86.45938
"SVM","C GloVe-non-static", 86.3
"SVM","C GloVe-non-static", 86.50794
"SVM","C GloVe-non-static", 86.37975
"SVM","A Skipgram-static", 72.88046
"SVM","A Skipgram-static", 73.29127
"SVM","A Skipgram-static", 72.86245
"SVM","A Skipgram-static", 72.77717
"SVM","A Skipgram-static", 72.80702
"SVM","A Skipgram-static", 73.97552
"SVM","A Skipgram-static", 72.40664
"SVM","A Skipgram-static", 73.49593
"SVM","D Skipgram-non-static", 89.04313
"SVM","D Skipgram-non-static", 87.95918
"SVM","D Skipgram-non-static", 88.4
"SVM","D Skipgram-non-static", 88.36968
"SVM","D Skipgram-non-static", 87.9212
"SVM","D Skipgram-non-static", 88.52459
"SVM","D Skipgram-non-static", 90.10547
"SVM","D Skipgram-non-static", 88.4788
"SVM","D Skipgram-non-static", 88.17891
"SVM","D Skipgram-non-static", 89.0138
"SVM","E LSTM", 88.40688
"SVM","E LSTM", 90.2103
"SVM","E LSTM", 89.47756
"SVM","E LSTM", 89.52802
"SVM","E LSTM", 87.84489
"SVM","E LSTM", 88.40688
"SVM","E LSTM", 90.2103
"SVM","E LSTM", 89.47756
"SVM","E LSTM", 89.52802
"SVM","E LSTM", 87.84489
"SVM","B GloVe-static", 82.32819
"SVM","B GloVe-static", 83.91421
"SVM","B GloVe-static", 83.49381
"SVM","B GloVe-static", 84.23266
"SVM","B GloVe-static", 80.25388
"SVM","B GloVe-static", 82.67223
"SVM","B GloVe-static", 81.69209
"SVM","B GloVe-static", 83.48184
"SVM","B GloVe-static", 83.36813
"SVM","B GloVe-static", 80.64047
"SVM","C GloVe-non-static", 85.46638
"SVM","C GloVe-non-static", 86.68076
"SVM","C GloVe-non-static", 86.06147
"SVM","C GloVe-non-static", 87.02509
"SVM","C GloVe-non-static", 84.10256
"SVM","C GloVe-non-static", 84.57565
"SVM","C GloVe-non-static", 84.3956
"SVM","C GloVe-non-static", 85.24118
"SVM","C GloVe-non-static", 85.40305
"SVM","C GloVe-non-static", 84.50292
"SVM","A Skipgram-static", 82.11654
"SVM","A Skipgram-static", 83.63636
"SVM","A Skipgram-static", 83.38848
"SVM","A Skipgram-static", 83.71786
"SVM","A Skipgram-static", 80.89431
