"algorithm","embedding","f1_measure"
"DNN","B GloVe-static", 85.44892
"DNN","B GloVe-static", 87.97565
"DNN","B GloVe-static", 85.93272
"DNN","B GloVe-static", 88.40804
"DNN","B GloVe-static", 86.16352
"DNN","B GloVe-static", 87.44327
"DNN","B GloVe-static", 85.62401
"DNN","B GloVe-static", 88.65031
"DNN","A Skipgram-static", 85.41667
"DNN","A Skipgram-static", 85.58692
"DNN","A Skipgram-static", 84.73054
"DNN","A Skipgram-static", 87.59124
"DNN","A Skipgram-static", 87.59124
"DNN","A Skipgram-static", 88.0814
"DNN","A Skipgram-static", 85.2459
"DNN","A Skipgram-static", 87.4269
"DNN","A Skipgram-static", 84.90284
"DNN","A Skipgram-static", 87.59124
"DNN","C GloVe-non-static", 87.15447
"DNN","C GloVe-non-static", 86.82432
"DNN","C GloVe-non-static", 87.56219
"DNN","C GloVe-non-static", 88.55219
"DNN","C GloVe-non-static", 88.74802
"DNN","C GloVe-non-static", 89.03654
"DNN","C GloVe-non-static", 87.54209
"DNN","C GloVe-non-static", 87.82051
"DNN","C GloVe-non-static", 88.05461
"DNN","C GloVe-non-static", 90.82278
"DNN","D Skipgram-non-static", 89.79592
"DNN","D Skipgram-non-static", 92.79732
"DNN","D Skipgram-non-static", 89.83957
"DNN","D Skipgram-non-static", 93.37641
"DNN","D Skipgram-non-static", 92.35772
"DNN","D Skipgram-non-static", 92.90323
"DNN","D Skipgram-non-static", 90.78498
"DNN","D Skipgram-non-static", 92.85714
"DNN","D Skipgram-non-static", 92.19601
"DNN","D Skipgram-non-static", 93.73997
"DNN","E LSTM", 91.73693
"DNN","E LSTM", 92.64957
"DNN","E LSTM", 92.81961
"DNN","E LSTM", 92.97659
"DNN","E LSTM", 93.46405
"DNN","E LSTM", 92.30769
"DNN","E LSTM", 90.56604
"DNN","E LSTM", 92.61084
"DNN","E LSTM", 92.36111
"DNN","E LSTM", 92.30769
"DNN","F Drunk2Vec", 88.32117
"DNN","F Drunk2Vec", 87.05882
"DNN","F Drunk2Vec", 91.48936
"DNN","F Drunk2Vec", 93.33333
"DNN","F Drunk2Vec", 88.23137644
"DNN","F Drunk2Vec", 85.82677
"DNN","F Drunk2Vec", 88.58131
"DNN","F Drunk2Vec", 88.37209
"DNN","F Drunk2Vec", 89.53069
"DNN","F Drunk2Vec", 90.32258
"DNN","B GloVe-static", 76.71233
"DNN","B GloVe-static", 65.82278
"DNN","B GloVe-static", 68.06723
"DNN","B GloVe-static", 75.91241
"DNN","B GloVe-static", 76.92308
"DNN","B GloVe-static", 71.66667
"DNN","B GloVe-static", 75.09294
"DNN","B GloVe-static", 76.08696
"DNN","B GloVe-static", 75
"DNN","B GloVe-static", 72.98246
"DNN","A Skipgram-static", 75.64103
"DNN","A Skipgram-static", 70.06369
"DNN","A Skipgram-static", 70.98976
"DNN","A Skipgram-static", 79.32961
"DNN","A Skipgram-static", 77.8098
"DNN","A Skipgram-static", 71.28028
"DNN","A Skipgram-static", 78.68852
"DNN","A Skipgram-static", 74.63557
"DNN","A Skipgram-static", 74.6988
"DNN","A Skipgram-static", 70.06803
"DNN","C GloVe-non-static", 69.42149
"DNN","C GloVe-non-static", 73.80074
"DNN","C GloVe-non-static", 78.38828
"DNN","C GloVe-non-static", 78.11448
"DNN","C GloVe-non-static", 76.80608
"DNN","C GloVe-non-static", 74.67811
"DNN","C GloVe-non-static", 72.72727
"DNN","C GloVe-non-static", 78.81041
"DNN","C GloVe-non-static", 80.68966
"DNN","C GloVe-non-static", 73.80074
"DNN","D Skipgram-non-static", 88.37209
"DNN","D Skipgram-non-static", 82.10526
"DNN","D Skipgram-non-static", 87.07483
"DNN","D Skipgram-non-static", 88.43537
"DNN","D Skipgram-non-static", 84.51613
"DNN","D Skipgram-non-static", 84.75836
"DNN","D Skipgram-non-static", 83.63636
"DNN","D Skipgram-non-static", 83.89262
"DNN","D Skipgram-non-static", 83.87097
"DNN","D Skipgram-non-static", 86.77966
"DNN","E LSTM", 87.40741
"DNN","E LSTM", 85.27132
"DNN","E LSTM", 91.03943
"DNN","E LSTM", 93.37979
"DNN","E LSTM", 87.94326
"DNN","E LSTM", 88.88889
"DNN","E LSTM", 88.4058
"DNN","E LSTM", 89.73384
"DNN","E LSTM", 88.72727
"DNN","E LSTM", 88.4058
"DNN","F Drunk2Vec", 85.81454
"DNN","F Drunk2Vec", 84.68992
"DNN","F Drunk2Vec", 85.7419
"DNN","F Drunk2Vec", 84.94845
"DNN","F Drunk2Vec", 86.56294
"DNN","F Drunk2Vec", 87.07071
"DNN","F Drunk2Vec", 85.87286
"DNN","F Drunk2Vec", 85.32799
"DNN","F Drunk2Vec", 85.71429
"DNN","F Drunk2Vec", 85.54455
"DNN","B GloVe-static", 77.48209
"DNN","B GloVe-static", 75.02668
"DNN","B GloVe-static", 77.3383
"DNN","B GloVe-static", 78.05113
"DNN","B GloVe-static", 80.21654
"DNN","B GloVe-static", 78.48341
"DNN","B GloVe-static", 77.10843
"DNN","B GloVe-static", 76.48699
"DNN","B GloVe-static", 76.91527
"DNN","B GloVe-static", 77.24719
"DNN","A Skipgram-static", 70.66052
"DNN","A Skipgram-static", 72.64249
"DNN","A Skipgram-static", 72.98797
"DNN","A Skipgram-static", 72.55092
"DNN","A Skipgram-static", 74.67688
"DNN","A Skipgram-static", 72.7746
"DNN","A Skipgram-static", 74.43281
"DNN","A Skipgram-static", 73.61111
"DNN","A Skipgram-static", 72.97424
"DNN","A Skipgram-static", 69.96239
"DNN","C GloVe-non-static", 85.41854
"DNN","C GloVe-non-static", 84.34442
"DNN","C GloVe-non-static", 86.68258
"DNN","C GloVe-non-static", 85.98131
"DNN","C GloVe-non-static", 86.00091
"DNN","C GloVe-non-static", 86.47059
"DNN","C GloVe-non-static", 85.24748
"DNN","C GloVe-non-static", 84.8339
"DNN","C GloVe-non-static", 85.45546
"DNN","C GloVe-non-static", 84.86218
"DNN","D Skipgram-non-static", 87.75209
"DNN","D Skipgram-non-static", 85.87952
"DNN","D Skipgram-non-static", 84.99142
"DNN","D Skipgram-non-static", 87.39496
"DNN","D Skipgram-non-static", 88.85673
"DNN","D Skipgram-non-static", 86.05898
"DNN","D Skipgram-non-static", 88.07252
"DNN","D Skipgram-non-static", 86.93442
"DNN","D Skipgram-non-static", 88.07157
"DNN","D Skipgram-non-static", 87.06345
"DNN","E LSTM", 85.55452
"DNN","E LSTM", 83.04308
"DNN","E LSTM", 83.48214
"DNN","E LSTM", 84.83434
"DNN","E LSTM", 83.28865
"DNN","E LSTM", 83.91421
"DNN","E LSTM", 83.4653
"DNN","E LSTM", 83.51325
"DNN","E LSTM", 82.12996
"DNN","E LSTM", 84.05669
"DNN","F Drunk2Vec", 86.81818
"DNN","F Drunk2Vec", 89.39394
"DNN","F Drunk2Vec", 89.0199
"DNN","F Drunk2Vec", 87.27811
"DNN","F Drunk2Vec", 88.59649
"DNN","F Drunk2Vec", 89.01818
"DNN","F Drunk2Vec", 88.12589
"DNN","F Drunk2Vec", 88.72293
"DNN","F Drunk2Vec", 87.88774
"DNN","F Drunk2Vec", 87.81204
"DNN","B GloVe-static", 81.35095
"DNN","B GloVe-static", 83.59217
"DNN","B GloVe-static", 83.95396
"DNN","B GloVe-static", 81.65266
"DNN","B GloVe-static", 81.25436
"DNN","B GloVe-static", 83.56742
"DNN","B GloVe-static", 80.6428
"DNN","B GloVe-static", 79.44785
"DNN","B GloVe-static", 81.93457
"DNN","B GloVe-static", 80.14599
"DNN","A Skipgram-static", 79.77369
"DNN","A Skipgram-static", 81.97832
"DNN","A Skipgram-static", 82.40866
"DNN","A Skipgram-static", 81.62198
"DNN","A Skipgram-static", 81.38759
"DNN","A Skipgram-static", 82.56042
"DNN","A Skipgram-static", 81.43713
"DNN","A Skipgram-static", 82.00782
"DNN","A Skipgram-static", 81.75084
"DNN","A Skipgram-static", 79.41788
"DNN","C GloVe-non-static", 84.47876
"DNN","C GloVe-non-static", 86.53001
"DNN","C GloVe-non-static", 86.49046
"DNN","C GloVe-non-static", 84.29752
"DNN","C GloVe-non-static", 84.51327
"DNN","C GloVe-non-static", 84.60432
"DNN","C GloVe-non-static", 84.63252
"DNN","C GloVe-non-static", 83.32075
"DNN","C GloVe-non-static", 82.64591
"DNN","C GloVe-non-static", 84.57944
"DNN","D Skipgram-non-static", 90.54264
"DNN","D Skipgram-non-static", 88.08989
"DNN","D Skipgram-non-static", 90.07519
"DNN","D Skipgram-non-static", 87.59812
"DNN","D Skipgram-non-static", 89.44954
"DNN","D Skipgram-non-static", 88.44221
"DNN","D Skipgram-non-static", 85.76
"DNN","D Skipgram-non-static", 87.85332
"DNN","D Skipgram-non-static", 86.52271
"DNN","D Skipgram-non-static", 88.25301
"DNN","E LSTM", 88.95613
"DNN","E LSTM", 87.14734
"DNN","E LSTM", 89.40998
"DNN","E LSTM", 87.26163
"DNN","E LSTM", 88.73563
"DNN","E LSTM", 87.25129
"DNN","E LSTM", 86.65667
"DNN","E LSTM", 86.82171
"DNN","E LSTM", 88.006
"DNN","E LSTM", 87.04422
